COD,Departamento,Departamento_name,Municipio_name
5001,5,Antioquia,Medellín
5002,5,Antioquia,Abejorral
5004,5,Antioquia,Abriaquí
5021,5,Antioquia,Alejandría
5030,5,Antioquia,Amagá
5031,5,Antioquia,Amalfi
5034,5,Antioquia,Andes
5036,5,Antioquia,Angelópolis
5038,5,Antioquia,Angostura
5040,5,Antioquia,Anorí
5042,5,Antioquia,Santafé de Antioquia
5044,5,Antioquia,Anza
5045,5,Antioquia,Apartadó
5051,5,Antioquia,Arboletes
5055,5,Antioquia,Argelia
5059,5,Antioquia,Armenia
5079,5,Antioquia,Barbosa
5086,5,Antioquia,Belmira
5088,5,Antioquia,Bello
5091,5,Antioquia,Betania
5093,5,Antioquia,Betulia
5101,5,Antioquia,Ciudad Bolívar
5107,5,Antioquia,Briceño
5113,5,Antioquia,Buriticá
5120,5,Antioquia,Cáceres
5125,5,Antioquia,Caicedo
5129,5,Antioquia,Caldas
5134,5,Antioquia,Campamento
5138,5,Antioquia,Cañasgordas
5142,5,Antioquia,Caracolí
5145,5,Antioquia,Caramanta
5147,5,Antioquia,Carepa
5148,5,Antioquia,El Carmen de Viboral
5150,5,Antioquia,Carolina
5154,5,Antioquia,Caucasia
5172,5,Antioquia,Chigorodó
5190,5,Antioquia,Cisneros
5197,5,Antioquia,Cocorná
5206,5,Antioquia,Concepción
5209,5,Antioquia,Concordia
5212,5,Antioquia,Copacabana
5234,5,Antioquia,Dabeiba
5237,5,Antioquia,Don Matías
5240,5,Antioquia,Ebéjico
5250,5,Antioquia,El Bagre
5264,5,Antioquia,Entrerrios
5266,5,Antioquia,Envigado
5282,5,Antioquia,Fredonia
5284,5,Antioquia,Frontino
5306,5,Antioquia,Giraldo
5308,5,Antioquia,Girardota
5310,5,Antioquia,Gómez Plata
5313,5,Antioquia,Granada
5315,5,Antioquia,Guadalupe
5318,5,Antioquia,Guarne
5321,5,Antioquia,Guatapé
5347,5,Antioquia,Heliconia
5353,5,Antioquia,Hispania
5360,5,Antioquia,Itagui
5361,5,Antioquia,Ituango
5364,5,Antioquia,Jardín
5368,5,Antioquia,Jericó
5376,5,Antioquia,La Ceja
5380,5,Antioquia,La Estrella
5390,5,Antioquia,La Pintada
5400,5,Antioquia,La Unión
5411,5,Antioquia,Liborina
5425,5,Antioquia,Maceo
5440,5,Antioquia,Marinilla
5467,5,Antioquia,Montebello
5475,5,Antioquia,Murindó
5480,5,Antioquia,Mutatá
5483,5,Antioquia,Nariño
5490,5,Antioquia,Necoclí
5495,5,Antioquia,Nechí
5501,5,Antioquia,Olaya
5541,5,Antioquia,Peñol
5543,5,Antioquia,Peque
5576,5,Antioquia,Pueblorrico
5579,5,Antioquia,Puerto Berrío
5585,5,Antioquia,Puerto Nare
5591,5,Antioquia,Puerto Triunfo
5604,5,Antioquia,Remedios
5607,5,Antioquia,Retiro
5615,5,Antioquia,Rionegro
5628,5,Antioquia,Sabanalarga
5631,5,Antioquia,Sabaneta
5642,5,Antioquia,Salgar
5647,5,Antioquia,San Andrés de Cuerquía
5649,5,Antioquia,San Carlos
5652,5,Antioquia,San Francisco
5656,5,Antioquia,San Jerónimo
5658,5,Antioquia,San José de La Montaña
5659,5,Antioquia,San Juan de Urabá
5660,5,Antioquia,San Luis
5664,5,Antioquia,San Pedro
5665,5,Antioquia,San Pedro de Uraba
5667,5,Antioquia,San Rafael
5670,5,Antioquia,San Roque
5674,5,Antioquia,San Vicente
5679,5,Antioquia,Santa Bárbara
5686,5,Antioquia,Santa Rosa de Osos
5690,5,Antioquia,Santo Domingo
5697,5,Antioquia,El Santuario
5736,5,Antioquia,Segovia
5756,5,Antioquia,Sonson
5761,5,Antioquia,Sopetrán
5789,5,Antioquia,Támesis
5790,5,Antioquia,Tarazá
5792,5,Antioquia,Tarso
5809,5,Antioquia,Titiribí
5819,5,Antioquia,Toledo
5837,5,Antioquia,Turbo
5842,5,Antioquia,Uramita
5847,5,Antioquia,Urrao
5854,5,Antioquia,Valdivia
5856,5,Antioquia,Valparaíso
5858,5,Antioquia,Vegachí
5861,5,Antioquia,Venecia
5873,5,Antioquia,Vigía del Fuerte
5885,5,Antioquia,Yalí
5887,5,Antioquia,Yarumal
5890,5,Antioquia,Yolombó
5893,5,Antioquia,Yondó
5895,5,Antioquia,Zaragoza
8001,8,Atlántico,Barranquilla
8078,8,Atlántico,Baranoa
8137,8,Atlántico,Campo de La Cruz
8141,8,Atlántico,Candelaria
8296,8,Atlántico,Galapa
8372,8,Atlántico,Juan de Acosta
8421,8,Atlántico,Luruaco
8433,8,Atlántico,Malambo
8436,8,Atlántico,Manatí
8520,8,Atlántico,Palmar de Varela
8549,8,Atlántico,Piojó
8558,8,Atlántico,Polonuevo
8560,8,Atlántico,Ponedera
8573,8,Atlántico,Puerto Colombia
8606,8,Atlántico,Repelón
8634,8,Atlántico,Sabanagrande
8638,8,Atlántico,Sabanalarga
8675,8,Atlántico,Santa Lucía
8685,8,Atlántico,Santo Tomás
8758,8,Atlántico,Soledad
8770,8,Atlántico,Suan
8832,8,Atlántico,Tubará
8849,8,Atlántico,Usiacurí
11001,11,"Bogotá, D.C.","Bogotá, D.C."
13001,13,Bolívar,Cartagena
13006,13,Bolívar,Achí
13030,13,Bolívar,Altos del Rosario
13042,13,Bolívar,Arenal
13052,13,Bolívar,Arjona
13062,13,Bolívar,Arroyohondo
13074,13,Bolívar,Barranco de Loba
13140,13,Bolívar,Calamar
13160,13,Bolívar,Cantagallo
13188,13,Bolívar,Cicuco
13212,13,Bolívar,Córdoba
13222,13,Bolívar,Clemencia
13244,13,Bolívar,El Carmen de Bolívar
13248,13,Bolívar,El Guamo
13268,13,Bolívar,El Peñón
13300,13,Bolívar,Hatillo de Loba
13430,13,Bolívar,Magangué
13433,13,Bolívar,Mahates
13440,13,Bolívar,Margarita
13442,13,Bolívar,María La Baja
13458,13,Bolívar,Montecristo
13468,13,Bolívar,Mompós
13473,13,Bolívar,Morales
13490,13,Bolívar,Norosí
13549,13,Bolívar,Pinillos
13580,13,Bolívar,Regidor
13600,13,Bolívar,Río Viejo 
13620,13,Bolívar,San Cristóbal
13647,13,Bolívar,San Estanislao
13650,13,Bolívar,San Fernando
13654,13,Bolívar,San Jacinto
13655,13,Bolívar,San Jacinto del Cauca
13657,13,Bolívar,San Juan Nepomuceno
13667,13,Bolívar,San Martín de Loba
13670,13,Bolívar,San Pablo
13673,13,Bolívar,Santa Catalina
13683,13,Bolívar,Santa Rosa
13688,13,Bolívar,Santa Rosa del Sur
13744,13,Bolívar,Simití
13760,13,Bolívar,Soplaviento
13780,13,Bolívar,Talaigua Nuevo
13810,13,Bolívar,Tiquisio
13836,13,Bolívar,Turbaco
13838,13,Bolívar,Turbaná
13873,13,Bolívar,Villanueva
13894,13,Bolívar,Zambrano
15001,15,Boyacá,Tunja
15022,15,Boyacá,Almeida
15047,15,Boyacá,Aquitania
15051,15,Boyacá,Arcabuco
15087,15,Boyacá,Belén
15090,15,Boyacá,Berbeo
15092,15,Boyacá,Betéitiva
15097,15,Boyacá,Boavita
15104,15,Boyacá,Boyacá
15106,15,Boyacá,Briceño
15109,15,Boyacá,Buenavista
15114,15,Boyacá,Busbanzá
15131,15,Boyacá,Caldas
15135,15,Boyacá,Campohermoso
15162,15,Boyacá,Cerinza
15172,15,Boyacá,Chinavita
15176,15,Boyacá,Chiquinquirá
15180,15,Boyacá,Chiscas
15183,15,Boyacá,Chita
15185,15,Boyacá,Chitaraque
15187,15,Boyacá,Chivatá
15189,15,Boyacá,Ciénega
15204,15,Boyacá,Cómbita
15212,15,Boyacá,Coper
15215,15,Boyacá,Corrales
15218,15,Boyacá,Covarachía
15223,15,Boyacá,Cubará
15224,15,Boyacá,Cucaita
15226,15,Boyacá,Cuítiva
15232,15,Boyacá,Chíquiza
15236,15,Boyacá,Chivor
15238,15,Boyacá,Duitama
15244,15,Boyacá,El Cocuy
15248,15,Boyacá,El Espino
15272,15,Boyacá,Firavitoba
15276,15,Boyacá,Floresta
15293,15,Boyacá,Gachantivá
15296,15,Boyacá,Gameza
15299,15,Boyacá,Garagoa
15317,15,Boyacá,Guacamayas
15322,15,Boyacá,Guateque
15325,15,Boyacá,Guayatá
15332,15,Boyacá,Güicán
15362,15,Boyacá,Iza
15367,15,Boyacá,Jenesano
15368,15,Boyacá,Jericó
15377,15,Boyacá,Labranzagrande
15380,15,Boyacá,La Capilla
15401,15,Boyacá,La Victoria
15403,15,Boyacá,La Uvita
15407,15,Boyacá,Villa de Leyva
15425,15,Boyacá,Macanal
15442,15,Boyacá,Maripí
15455,15,Boyacá,Miraflores
15464,15,Boyacá,Mongua
15466,15,Boyacá,Monguí
15469,15,Boyacá,Moniquirá
15476,15,Boyacá,Motavita
15480,15,Boyacá,Muzo
15491,15,Boyacá,Nobsa
15494,15,Boyacá,Nuevo Colón
15500,15,Boyacá,Oicatá
