cod,mpio_name,ADO|EU/LWAL+DNO,CR+PC/LWAL+DUL,CR/LINF+DNO,CR/LINF+DUL,CR/LWAL+DUL,MATO/LN,MCF/LWAL+DNO,MCF/LWAL+DUL,MR/LWAL+DUL,MUR+ST/LWAL+DNO,MUR/LWAL+DNO,UNK,W+WO/LN+DNO,CR/LINF+DUH,CR/LWAL+DUH,MCF/LWAL+DUH,MR/LWAL+DUH,CR/LINF+DUM,CR/LWAL+DUM,MCF/LWAL+DUM,MR/LWAL+DUM
5001,Medellin,,,,,,,,,,,238810,,,,,,,,,,
5002,Abejorral,1340,13,0,0,9,0,70,0,0,25,617,435,8,0,0,0,0,0,0,0,0
5004,Abriaqui,24,6,0,0,3,0,22,0,0,5,154,71,1,0,0,0,0,0,0,0,0
5021,Alejandria,26,0,0,0,0,0,36,0,0,17,451,125,3,0,0,0,0,0,0,0,0
5030,Amaga,894,34,0,0,0,0,0,0,0,5,21,622,39,0,0,0,0,0,0,0,0
5031,Amalfi,126,4,0,0,2,0,170,0,0,100,2321,786,82,0,0,0,0,0,0,0,0
5034,Andes,299,7,0,0,0,2,0,0,0,3,11,254,27,0,0,0,0,0,0,0,0
5036,Angelopolis,192,6,0,0,3,0,43,0,0,23,512,113,9,0,0,0,0,0,0,0,0
5038,Angostura,304,3,0,0,6,0,39,0,0,13,324,157,5,0,0,0,0,0,0,0,0
5040,Anori,65,34,0,0,4,0,90,0,0,57,1233,243,125,0,0,0,0,0,0,0,0
5042,Santafe de Antioquia,1057,30,0,0,27,1,209,0,0,84,2044,1057,38,0,0,0,0,0,0,0,0
5044,Anza,37,4,0,0,1,0,35,0,0,18,418,90,4,0,0,0,0,0,0,0,0
5045,Apartado,18,34,3309,0,0,0,1186,0,0,229,9242,1428,1714,826,253,2608,0,0,0,0,0
5051,Arboletes,6,8,0,0,4,2,111,0,0,95,1672,436,966,0,0,0,0,0,0,0,0
5055,Argelia,18,2,0,0,3,0,40,0,0,23,482,170,13,0,0,0,0,0,0,0,0
5059,Armenia,28,3,0,0,1,0,25,0,0,13,328,114,1,0,0,0,0,0,0,0,0
5079,Barbosa,63,6,0,0,0,0,0,0,0,1,6,94,34,0,0,0,0,0,0,0,0
5086,Belmira,142,3,0,0,1,0,26,0,0,13,322,98,1,0,0,0,0,0,0,0,0
5088,Bello,202,232,17657,0,0,4,2791,0,0,187,17903,2450,1565,0,0,0,0,3310,4965,5017,1180
5091,Betania,272,6,0,0,2,0,24,0,0,7,210,42,2,0,0,0,0,0,0,0,0
5093,Betulia,294,9,0,0,11,0,73,0,0,33,712,181,8,0,0,0,0,0,0,0,0
5101,Ciudad Bolivar,962,11,0,0,14,0,174,0,0,71,1890,377,5,0,0,0,0,0,0,0,0
5107,Briceno,43,1,0,0,4,0,41,0,0,19,471,118,6,0,0,0,0,0,0,0,0
5113,Buritica,269,4,0,0,2,0,21,0,0,7,193,77,12,0,0,0,0,0,0,0,0
5120,Caceres,9,8,0,0,4,18,161,0,0,164,2656,814,792,0,0,0,0,0,0,0,0
5125,Caicedo,217,5,0,0,2,0,18,0,0,5,143,78,5,0,0,0,0,0,0,0,0
5129,Caldas,560,75,2811,0,0,1,631,0,0,47,2857,383,94,527,316,866,183,0,0,0,0
5134,Campamento,199,1,0,0,3,0,32,0,0,14,352,115,2,0,0,0,0,0,0,0,0
5138,Canasgordas,82,2,0,0,3,1,60,0,0,37,788,193,7,0,0,0,0,0,0,0,0
5142,Caracoli,6,0,0,0,18,0,68,0,0,15,356,47,5,0,0,0,0,0,0,0,0
5145,Caramanta,374,13,0,0,5,0,30,0,0,11,236,169,3,0,0,0,0,0,0,0,0
5147,Carepa,8,14,0,0,0,1,0,0,0,18,73,1142,1025,0,0,0,0,0,0,0,0
5148,El Carmen de Viboral,99,9,0,0,0,0,0,0,0,1,5,542,4,0,0,0,0,0,0,0,0
5150,Carolina,415,3,0,0,4,0,38,0,0,14,369,209,2,0,0,0,0,0,0,0,0
5154,Caucasia,15,29,1633,0,0,6,544,0,0,228,9065,2225,2104,0,0,0,0,408,394,2327,0
5172,Chigorodo,29,48,1039,0,0,1,675,0,0,208,5827,1175,781,261,110,1628,0,0,0,0,0
5190,Cisneros,245,3,0,0,7,0,82,0,0,36,897,173,12,0,0,0,0,0,0,0,0
5197,Cocorna,15,0,0,0,91,0,288,0,0,40,999,482,3,0,0,0,0,0,0,0,0
5206,Concepcion,220,1,0,0,0,0,21,0,0,9,262,207,1,0,0,0,0,0,0,0,0
5209,Concordia,232,13,0,0,3,1,98,0,0,60,1326,191,16,0,0,0,0,0,0,0,0
5212,Copacabana,831,41,1883,0,0,0,448,0,0,12,3110,177,8,0,0,0,0,353,142,882,125
5234,Dabeiba,67,15,0,0,2,1,121,0,0,95,1867,268,154,0,0,0,0,0,0,0,0
5237,Don Matias,43,6,0,0,29,0,181,0,0,49,1388,169,0,0,0,0,0,0,0,0,0
5240,Ebejico,185,0,0,0,2,0,42,0,0,21,506,131,2,0,0,0,0,0,0,0,0
5250,El Bagre,10,16,0,0,0,1,0,0,0,52,211,2588,1210,0,0,0,0,0,0,0,0
5264,Entrerrios,64,2,0,0,3,0,65,0,0,27,764,75,2,0,0,0,0,0,0,0,0
5266,Envigado,65,54,4428,0,0,0,1188,0,0,7,7512,799,5,0,0,0,0,830,1131,2110,321
5282,Fredonia,398,12,0,0,3,0,104,0,0,48,1289,246,10,0,0,0,0,0,0,0,0
5284,Frontino,114,8,0,0,5,0,147,0,0,94,2018,349,52,0,0,0,0,0,0,0,0
5306,Giraldo,3,0,0,0,0,0,12,0,0,7,149,34,1,0,0,0,0,0,0,0,0
5308,Girardota,39,15,0,0,0,0,0,0,0,1,2,132,1,0,0,0,0,0,0,0,0
5310,Gomez Plata,392,4,0,0,4,0,64,0,0,34,798,382,2,0,0,0,0,0,0,0,0
5313,Granada,5,1,0,0,1,0,49,0,0,22,592,193,33,0,0,0,0,0,0,0,0
5315,Guadalupe,243,2,0,0,0,0,24,0,0,13,297,96,3,0,0,0,0,0,0,0,0
